"TIME","Country.Name","LOCATION","MEATCONSUMP.Beef.Kg.","MEATCONSUMP.Pig.Kg.","MEATCONSUMP.Sheep.Kg.","MEATCONSUMP.Poultry.Kg.","CROP.TYPE.Soybean.Thnd.Ha.","CROP.TYPE.Wheat.Thnd.Ha.","CROP.TYPE.Maize.Thnd.Ha.","CROP.TYPE.Rice.Thnd.Ha.","TSE....GDP.","AGRPNPC..ratio.","Region","Income.Group","CO2 emissions (metric tons per capita)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","GDP per capita (current US$)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Methane emissions (kt of CO2 equivalent)","Population, total"
1990,"Paraguay","PRY",14.26,21.868,0.715,5.163,0,156,243,34,NA,NA,"Latin America & Caribbean","Upper middle income",0.490124929766518,NA,NA,1376.16532482782,70.576,66.594,17510,4223413
1990,"Peru","PER",3.96,2.377,1.42,10.044,0,82,343,185,NA,NA,"Latin America & Caribbean","Upper middle income",0.934692369090852,NA,NA,1196.58685819634,68.372,63.984,17240,22071433
1990,"Philippines","PHL",1.567,8.623,0.386,3.437,0,0,3820,3433,NA,NA,"East Asia & Pacific","Lower middle income",0.659825324978109,NA,NA,715.913607987475,69.6,63.327,45770,61895169
1990,"Russian Federation","RUS",0,0,0,0,675.15,24244,869.4,286.51,NA,NA,"Europe & Central Asia","Upper middle income",14.630524267763,NA,NA,3492.7103142473,74.3,63.73,929970,147969407
1990,"Saudi Arabia","SAU",3.017,0,5.667,25.612,0,771,2,0,NA,NA,"Middle East & North Africa","High income",10.249611520073,NA,NA,7246.01592028381,70.984,67.551,19500,16233786
1990,"South Africa","ZAF",13.4,2.703,3.947,13.028,0,1563,3816,1,NA,NA,"Sub-Saharan Africa","Upper middle income",6.7297985867423,NA,NA,3139.9662248384,66.342,60.472,44490,36800507
1990,"Switzerland","CHE",18.356,31.962,1.643,9.741,1.8,100,27,0,3.2303013341,3.6308162422,"Europe & Central Asia","High income",6.45221910622247,NA,NA,39609.0070897428,80.71,73.94,6450,6715519
1990,"Thailand","THA",3.915,4.632,0.021,8.152,0,0,1545,8792,NA,NA,"East Asia & Pacific","Upper middle income",1.56582080517561,NA,NA,1508.94246991043,73.433,67.175,56910,56558196
1990,"Turkey","TUR",4.955,0.006,5.922,6.766,0,9432,515,46,4.3578765959,1.2801707242,"Europe & Central Asia","Upper middle income",2.58188911422361,NA,NA,2794.35049380641,68.027,60.716,38230,53921758
1990,"Ukraine","UKR",0,0,0,0,0,0,0,0,NA,NA,"Europe & Central Asia","Lower middle income",13.2704070424001,NA,NA,1569.75713785595,74.82,65.6,190630,51891400
1990,"United Kingdom","GBR",12.722,17.971,6.305,15.928,0,2013.01,0,0,NA,NA,"Europe & Central Asia","High income",9.72425282701003,NA,NA,19096.2412009479,78.8,73.1,129970,57247586
1990,"United States","USA",30.673,22.496,0.63,35.072,22864.816,27964,27114.029,1142.431,0.7568856301,1.0755998613,"North America","High income",19.4092291175092,NA,NA,23888.6000088133,78.8,71.8,766550,249623000
1990,"Vietnam","VNM",1.686,8.147,0.036,2.188,0,0,432,6043,NA,NA,"East Asia & Pacific","Lower middle income",0.270779674109823,NA,NA,95.1882599812843,75.126,65.986,43190,67988855
1990,"World","WLD",6.564,9.687,1.346,5.956,39826.293,204194.19,128391.22,146434.53,NA,NA,"","",3.90296442208953,NA,NA,3481.90038174469,67.7506293037125,63.2902476333259,6898360,5280046096
1991,"","OECD",16.037,21.683,2.228,17.642,25436.137,80548.396,45306.799,5441.346,1.6300433891,1.4191668475,"","",NA,NA,NA,NA,NA,NA,NA,NA
1991,"","BRICS",2.477,8.349,0.754,2.676,21198.441,81700.62,46365.63,79739.7,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
1991,"Argentina","ARG",51.817,3.612,2.347,8.88,4936,4585,2365,86,NA,NA,"Latin America & Caribbean","Upper middle income",3.1838929118841,0.140000000596046,0.479999989271164,5735.3599805848,75.316,68.361,105660,33079002
1991,"Australia","AUS",27.942,14.521,19.415,22.35,29.611,7182.9,51.8,114,0.4464508568,1.0570036389,"East Asia & Pacific","High income",15.3153205276556,3.84999990463257,6.44000005722046,18821.7952597366,80.4,74.3,155750,17284000
1991,"Brazil","BRA",20.68,5.718,0.672,13.814,9441.391,1997.9,14027.1,4232,NA,NA,"Latin America & Caribbean","Upper middle income",1.35300162566594,9.61999988555908,24.7299995422363,3975.39019421469,70.26,63.426,300170,151648007
1991,"Canada","CAN",24.456,20.367,0.768,24.395,597.877,14160.89,1104.804,0,1.4160148122,1.2962868791,"North America","High income",14.7278173241332,2.39000010490417,4.3899998664856,21767.8522651159,80.9,74.5,88220,28037420
1991,"Chile","CHL",12.568,7.024,0.877,8.647,0,466,107,30,NA,NA,"Latin America & Caribbean","High income",2.19039951449602,6.13000011444092,25.0499992370605,2803.56271373259,76.818,70.699,12330,13495255
1991,"China","CHN",0.75,15.851,0.869,2.898,7221,30948,21574,32590,NA,NA,"East Asia & Pacific","Upper middle income",2.00054745476981,54.8800010681152,63.689998626709,333.142145400184,71.2,67.468,743070,1150780000
1991,"Colombia","COL",13.559,2.989,0.291,9.787,49.357,47,822,415,NA,NA,"Latin America & Caribbean","Upper middle income",1.4982969535695,7.03000020980835,33.8800010681152,1456.69435734689,73.828,66.16,57330,33758328
1991,"Egypt, Arab Rep.","EGY",5.562,0.033,1.105,4.558,21.846,931,869,462,NA,NA,"Middle East & North Africa","Lower middle income",1.55665123865485,53.6300010681152,35.3699989318848,651.077547640745,67.398,62.63,27650,57424552
1991,"Ethiopia","ETH",0,0,0,0,6.7,0,0,0,NA,NA,"Sub-Saharan Africa","Low income",0.0469663601530466,67.1600036621094,84.1500015258789,271.394373532612,49.065,46.013,42230,49609976
1991,"India","IND",1.623,0.375,0.606,0.518,3789,24167,5859,42650,NA,NA,"South Asia","Lower middle income",0.681429665603252,76.1699981689453,59,303.055607722879,58.774,57.967,528530,891273202
1991,"Indonesia","IDN",1.188,2.429,0.452,2.783,1665,0,3629,10876,NA,NA,"East Asia & Pacific","Lower middle income",0.876744876834978,57.0400009155273,54.6399993896484,631.782857820316,64.126,61.352,301810,184591897
1991,"Iran, Islamic Rep.","IRN",3.56,0,6.273,6.702,63,6558,42,582,NA,NA,"Middle East & North Africa","Lower middle income",3.77381552479432,17.8299999237061,25.6700000762939,NA,66.792,63.627,63290,57679025
1991,"Israel","ISR",12.32,1.569,1.137,35.91,0,84,6,0,NA,NA,"Middle East & North Africa","High income",6.97514649424126,1.97000002861023,4.48000001907349,NA,78.5,75.1,8610,4949000
1991,"Japan","JPN",6.401,13.003,0.759,11.841,140.8,238.7,0.309,2049,1.421710774,1.7517760465,"East Asia & Pacific","High income",8.91920234906908,7.78000020980835,6.01999998092651,28915.0153598631,82.22,76.13,37180,123964000
1991,"Kazakhstan","KAZ",0,0,0,0,17,13456,121,118,NA,NA,"Europe & Central Asia","Upper middle income",15.0458514618935,35.2799987792969,38.4000015258789,1514.92309359658,72.4,62.6,54140,16451711
1991,"Korea, Rep.","KOR",5.084,9.938,0.16,6.741,119.066,0.178,21.874,1208.455,6.3773585329,2.7912254698,"East Asia & Pacific","High income",6.32949633986781,17.0300006866455,13.039999961853,7636.98242937015,76.4,67.9,28900,43295704
1991,"Malaysia","MYS",2.912,9.992,0.369,22.39,0.003,0,20,684,NA,NA,"East Asia & Pacific","Upper middle income",3.41955733012324,20.5799999237061,23.5599994659424,2653.52616913133,73.09,69.268,27860,18519941
1991,"Mexico","MEX",8.976,7.895,0.608,10.245,341.679,983.892,6946.831,70,2.7101355387,1.3729940333,"Latin America & Caribbean","Upper middle income",3.34570495740038,8.30000019073486,26.4400005340576,3661.94796500841,74.148,68.386,87400,85512621
1991,"New Zealand","NZL",24.03,10.554,29.771,14.887,0,37.797,17.966,0,0.3412018866,1.0077960777,"East Asia & Pacific","High income",6.46905667935109,7.75,13.5200004577637,12229.9300887961,78.9,73.3,32230,3495100
1991,"Nigeria","NGA",1.474,0.853,1.535,1.486,513,50,5142,1652,NA,NA,"Sub-Saharan Africa","Lower middle income",0.773746618531716,45.8800010681152,54.4799995422363,502.914138918939,47.16,44.651,115210,97667632
1991,"Norway","NOR",12.975,15.758,5.042,4.233,0,53,0,0,3.2175393439,4.1726772363,"Europe & Central Asia","High income",6.39646040623859,3.54999995231628,7.65999984741211,28596.7455317282,80.1,74.01,5900,4261732
1991,"Pakistan","PAK",4.398,0,4.125,1.231,2.193,7911,848,2097,NA,NA,"South Asia","Lower middle income",0.544418958688386,68.1500015258789,41.2900009155273,411.859438966012,61.146,59.762,71670,110778655
1991,"Paraguay","PRY",28.434,21.748,0.678,3.788,626.759,183,258,34,NA,NA,"Latin America & Caribbean","Upper middle income",0.466044719990181,21.0799999237061,43.5400009155273,1611.39986057966,70.801,66.788,16650,4334348
1991,"Peru","PER",3.755,2.411,1.155,11.672,0.229,102,276,158,NA,NA,"Latin America & Caribbean","Upper middle income",0.876905432253772,33.7200012207031,39.1599998474121,1524.77053596861,68.948,64.582,17050,22522383
1991,"Philippines","PHL",1.538,8.618,0.347,3.98,3.113,0,3589,3288,NA,NA,"East Asia & Pacific","Lower middle income",0.636043444162643,32.0299987792969,52.7700004577637,715.746831420983,70.042,63.769,46870,63454785
1991,"Russian Federation","RUS",0,0,0,0,664.05,23151.72,732.53,266.7,NA,NA,"Europe & Central Asia","Upper middle income",14.4306163523247,10.5100002288818,17.6900005340576,3490.45250498822,73.75,63.45,863520,148394216
1991,"Saudi Arabia","SAU",3.452,0,5.716,27.393,0,896,2,0,NA,NA,"Middle East & North Africa","High income",11.1258208654006,0.400000005960464,8.78999996185303,7883.2452680575,71.505,67.947,20890,16772695
1991,"South Africa","ZAF",13.495,2.302,3.87,12.027,83,1436,4173,1,NA,NA,"Sub-Saharan Africa","Upper middle income",6.42462176573729,9.77999973297119,12.4300003051758,3285.9723260933,66.602,60.392,45210,37718952
1991,"Switzerland","CHE",18.579,31.265,1.608,10.174,1.801,98,27,0,3.2021786072,3.9143178331,"Europe & Central Asia","High income",6.71619819946476,3.96000003814697,4.53999996185303,39577.9787463026,81.1,74.1,6340,6799978
1991,"Thailand","THA",3.899,5.456,0.022,10.755,318.265,0,1399,9053,NA,NA,"East Asia & Pacific","Upper middle income",1.70654871777247,60.8199996948242,59.9500007629395,1716.41541952704,73.608,67.117,59240,57232471
1991,"Turkey","TUR",4.761,0.005,5.833,6.648,46,9598,513,40,6.7298273997,1.50552011,"Europe & Central Asia","Upper middle income",2.62250983965437,49.1199989318848,20.9799995422363,2735.70761464811,68.58,61.167,37080,54840595
1991,"Ukraine","UKR",0,0,0,0,97.462,6987,1455,23,NA,NA,"Europe & Central Asia","Lower middle income",12.5369948365881,26,24.2199993133545,NA,74.21,64.62,184800,52000500
1991,"United Kingdom","GBR",12.987,17.975,6.079,15.444,0,1980.505,0,0,NA,NA,"Europe & Central Asia","High income",9.93192900285045,1.19000005722046,2.9300000667572,19900.1884913825,78.9,73.4,131080,57424897
1991,"United States","USA",30.46,22.795,0.622,36.524,23471.846,23391,27842.466,1125.435,0.7635694339,1.0869299042,"North America","High income",19.005735608603,1.04999995231628,2.64000010490417,24342.2589048189,78.9,72,769820,252981000
1991,"Vietnam","VNM",1.661,7.731,0.03,2.08,101.1,0,448,6303,NA,NA,"East Asia & Pacific","Lower middle income",0.263692434904549,70.870002746582,70.8899993896484,138.447450381017,75.466,66.231,44780,69436956
1991,"World","WLD",6.664,9.919,1.554,6.781,56032.325,220282.02,133595.43,147223.65,NA,NA,"","",3.87459070366712,42.7654371903204,44.3034902161961,3614.00989913126,67.9556144982743,63.456996016179,6875120,5368139468
1992,"","BRICS",3.805,8.881,0.9,3.446,25151.4,80434.3,44629.9,78750.3,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
1992,"","OECD",15.836,22.079,2.186,18.638,25440.658,82605.972,48070.101,5585.333,1.5170065786,1.3757642101,"","",NA,NA,NA,NA,NA,NA,NA,NA
1992,"Argentina","ARG",50.98,4.487,1.894,10.027,5116,4295,2503,141,NA,NA,"Latin America & Caribbean","Upper middle income",3.20167542914679,0.319999992847443,0.46000000834465,6823.53883710424,75.515,68.586,107470,33529320
1992,"Australia","AUS",26.405,15.256,17.961,22.436,30.239,8274.6,44.9,106,0.5115939211,1.0619088998,"East Asia & Pacific","High income",15.3392397827951,3.60999989509583,6.1100001335144,18570.1204617916,80.4,74.5,155170,17495000
1992,"Brazil","BRA",20.542,5.809,0.668,14.677,10635.33,1641.9,12436.3,4614,NA,NA,"Latin America & Caribbean","Upper middle income",1.35265678686564,10.1199998855591,24.8299999237061,2596.91984245081,70.7,63.784,304560,154259382
1992,"Canada","CAN",23.83,22.342,0.745,24.423,621.9,13829.7,857.7,0,1.1308663869,1.2424469165,"North America","High income",15.0151928373723,2.28999996185303,4.40000009536743,20879.4524030194,80.9,74.7,92250,28371264
1992,"Chile","CHL",12.103,7.501,0.955,12.875,0,461,106,31.8,NA,NA,"Latin America & Caribbean","High income",2.29521995116845,6.05999994277954,23.6100006103516,3350.21408876441,77.097,70.997,12540,13719818
1992,"China","CHN",1.001,16.951,0.91,3.267,9454.1,30496,21044,32090,NA,NA,"East Asia & Pacific","Upper middle income",2.07574443977098,53.8499984741211,62.3499984741211,366.460692306116,71.407,67.511,751660,1164970000
1992,"Colombia","COL",11.556,2.97,0.305,10.294,52.994,43,696,435,NA,NA,"Latin America & Caribbean","Upper middle income",1.54578821661417,7.01999998092651,33.6699981689453,1697.11293600516,74.079,66.356,58360,34422568
1992,"Egypt, Arab Rep.","EGY",5.441,0.038,1.117,4.654,18.332,879,826,552,NA,NA,"Middle East & North Africa","Lower middle income",1.57329155707319,52.5299987792969,34.7200012207031,713.452548255451,67.821,63.036,30130,58666812
1992,"Ethiopia","ETH",0,0,0,0,6.8,0,0,0,NA,NA,"Sub-Saharan Africa","Low income",0.0295584180420228,67.2900009155273,84.4100036621094,204.050181513175,49.478,46.415,44550,51423591
1992,"India","IND",1.616,0.383,0.601,0.525,4370.5,23262,5963,41780,NA,NA,"South Asia","Lower middle income",0.693121231359505,75.9599990844727,58.6199989318848,316.953927198178,59.337,58.405,533310,909307018
1992,"Indonesia","IDN",1.292,2.435,0.467,2.567,1470.21,0,2940,11103,NA,NA,"East Asia & Pacific","Lower middle income",0.910355783616372,56.7799987792969,54.25,681.938385611901,64.519,61.765,311310,187739786
1992,"Iran, Islamic Rep.","IRN",3.436,0,6.205,8.556,60,6930,45,596,NA,NA,"Middle East & North Africa","Lower middle income",3.97071294678346,17.75,25.4500007629395,NA,67.302,65.223,66460,58780376
1992,"Israel","ISR",10.094,1.503,1.098,38.337,0,88,6,0,NA,NA,"Middle East & North Africa","High income",7.19500292797189,2.00999999046326,4.48999977111816,NA,78.4,74.7,8900,5123000
1992,"Japan","JPN",6.65,13.006,0.797,12.195,109.9,214.5,0.278,2106,1.5700359546,1.9914029922,"East Asia & Pacific","High income",8.98107293550331,7.28999996185303,5.82999992370605,31414.9763689392,82.35,76.11,37070,124425000
1992,"Kazakhstan","KAZ",25.195,10.469,12.436,7.521,9.9,13877,126,121,NA,NA,"Europe & Central Asia","Upper middle income",15.5513426986096,35.5999984741211,38.1199989318848,1515.73765903177,72.3,62.4,48820,16439095
1992,"Korea, Rep.","KOR",5.668,13.314,0.31,7.523,104.647,0.164,20.937,1156.885,5.8001993842,2.6618184707,"East Asia & Pacific","High income",6.77082969030649,16.7399997711182,12.2700004577637,8126.67038993422,76.8,68.4,28260,43747962
1992,"Malaysia","MYS",2.949,10.489,0.437,25.743,0.003,0,21,673,NA,NA,"East Asia & Pacific","Upper middle income",3.62422944998227,20.1399993896484,22.7099990844727,3113.6456771292,73.31,69.491,28690,19002660
1992,"Mexico","MEX",9.367,7.832,0.652,10.833,322.793,915.882,7219.352,70,2.6702087555,1.4283109685,"Latin America & Caribbean","Upper middle income",3.32770080313168,8.27999973297119,26.3400001525879,4170.62338257237,74.458,68.793,86840,87075136
1992,"New Zealand","NZL",24.801,10.968,29.918,15.298,0,40.861,15.925,0,0.2783812217,1.004722547,"East Asia & Pacific","High income",6.90602259535068,7.57999992370605,13.3500003814697,11793.0138373909,79.3,73.1,31930,3531700
1992,"Nigeria","NGA",1.469,0.876,1.529,1.422,543,30,5223,1664,NA,NA,"Sub-Saharan Africa","Lower middle income",0.862605098547241,45.7000007629395,54.3400001525879,477.177623755735,47.127,44.648,116080,100161708
1992,"Norway","NOR",13.141,16.045,5.128,4.739,0,55,0,0,2.8977213189,3.5509212053,"Europe & Central Asia","High income",7.10386172455634,3.34999990463257,7.32999992370605,30523.9809627845,80.36,74.16,6000,4286401
1992,"Pakistan","PAK",4.498,0,4.301,1.34,4.177,7878,868,1974,NA,NA,"South Asia","Lower middle income",0.587475537727544,68.0100021362305,41.0099983215332,429.14690219221,61.431,60.044,72640,113911126
1992,"Paraguay","PRY",31.769,22.257,0.643,4.003,634.993,192,249,38,NA,NA,"Latin America & Caribbean","Upper middle income",0.555678164705258,21.1000003814697,43.3899993896484,1610.2122468004,71.023,66.976,17170,4445019
1992,"Peru","PER",3.533,2.508,1.105,12.496,0.59,70,357,166,NA,NA,"Latin America & Caribbean","Upper middle income",0.900864734354627,33.7000007629395,39.2200012207031,1566.01127936912,69.506,65.162,17030,22966822
1992,"Philippines","PHL",1.6,7.894,0.36,4.159,3.484,0,3482,3237,NA,NA,"East Asia & Pacific","Lower middle income",0.67256100588181,32.25,53.2200012207031,814.768438906029,70.475,64.189,45220,65020124
1992,"Russian Federation","RUS",20.201,0,2.068,8.808,645.47,24284.4,809.6,265.3,NA,NA,"Europe & Central Asia","Upper middle income",13.5011063854505,11.8000001907349,18.7299995422363,3098.80263930177,71.99,62,780890,148538197
1992,"Saudi Arabia","SAU",3.532,0,5.915,23.984,0,924,2,0,NA,NA,"Middle East & North Africa","High income",11.5346653870816,0.360000014305115,8.56999969482422,7932.09323262693,71.997,68.327,22290,17282686
1992,"South Africa","ZAF",12.769,2.561,3.991,11.969,46,750,4377,1,NA,NA,"Sub-Saharan Africa","Upper middle income",6.1754299444638,9.76000022888184,12.4099998474121,3479.08320481774,66.637,60.109,45530,38672611
1992,"Switzerland","CHE",18.377,30.692,1.655,9.821,1.87,97,22,0,2.9313142184,3.0657293339,"Europe & Central Asia","High income",6.64692080302948,4.01000022888184,4.34999990463257,40747.3942181029,81.33,74.45,6250,6875364
1992,"Thailand","THA",3.827,5.837,0.026,12.93,343.2,0,1236,9160,NA,NA,"East Asia & Pacific","Upper middle income",1.85846903769653,62.0900001525879,59.9500007629395,1927.88260333504,73.727,66.976,60420,57811025
1992,"Turkey","TUR",4.241,0.004,5.687,6.95,26.75,9473,524,43,5.4592029938,1.4692370047,"Europe & Central Asia","Upper middle income",2.68758444330051,49.2099990844727,21.0200004577637,2842.36997834511,69.155,61.629,37750,55748946
1992,"Ukraine","UKR",20.716,17.716,0.599,8.544,70,6308,1137,24,NA,NA,"Europe & Central Asia","Lower middle income",11.0188991838989,26.1499996185303,24.6700000762939,1378.63618632702,73.98,63.81,173590,52150400
1992,"United Kingdom","GBR",12.632,17.823,6.018,22.711,0,2066.667,0,0,NA,NA,"Europe & Central Asia","High income",9.60361478546121,1.13999998569489,2.89000010490417,20488.0996654353,79.2,73.8,130760,57580402
1992,"United States","USA",30.359,24.06,0.603,37.937,23566.138,25414.3,29177.933,1267.48,0.7623285014,1.0836702713,"North America","High income",19.0250824516401,1.03999996185303,2.61999988555908,25418.9907763319,79.1,72.3,768670,256514000
1992,"Vietnam","VNM",1.702,8.857,0.029,2.172,97.3,0,478,6475,NA,NA,"East Asia & Pacific","Lower middle income",0.272418874195356,69.8899993896484,69.7300033569336,139.200122833062,75.793,66.474,46330,70883488
1992,"World","WLD",6.936,9.888,1.559,7.172,60005.387,220324.28,134578.01,147118.74,NA,NA,"","",3.8040110141891,42.5665183253719,44.0613160327577,3750.87121149166,68.1261671705609,63.5939231080776,6810430,5452576447
1993,"","OECD",15.513,21.911,2.101,18.749,24928.363,82353.155,44592.233,5448.684,1.466236868,1.3750061711,"","",NA,NA,NA,NA,NA,NA,NA,NA
1993,"","BRICS",3.826,10.327,0.939,3.905,25745.3,82010.48,46301.56,77541.73,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
1993,"Argentina","ARG",51.678,4.851,1.869,15.442,5750,4811,2445,140,NA,NA,"Latin America & Caribbean","Upper middle income",3.26846227107407,0.300000011920929,0.550000011920929,6969.11972904571,75.71,68.804,106960,33970103
1993,"Australia","AUS",26.37,15.082,17.49,23.807,40.634,8383.2,43.8,125,0.4854434304,1.0564521496,"East Asia & Pacific","High income",15.4163128997566,3.61999988555908,6.21000003814697,17634.534752009,80.9,75,151830,17667000
1993,"Brazil","BRA",20.813,6.004,0.689,15.198,11525.41,1446,14151.7,4385,NA,NA,"Latin America & Caribbean","Upper middle income",1.37189195989322,9.98999977111816,24.4300003051758,2791.20898186013,71.141,64.137,305470,156849086
1993,"Canada","CAN",22.805,21.749,0.756,25.037,747.9,12374.7,1012.3,0,0.9238358173,1.2087411469,"North America","High income",14.7353487028863,2.36999988555908,4.3899998664856,20121.3502597419,81,74.8,94870,28684764
1993,"Chile","CHL",13.6,8.096,0.902,15.173,0,395,105,29,NA,NA,"Latin America & Caribbean","High income",2.31625334332884,6.07999992370605,21.5499992370605,3535.17436010228,77.376,71.287,12840,13944934
1993,"China","CHN",1.256,18.159,0.99,4.131,9221.8,30235,20694,30355,NA,NA,"East Asia & Pacific","Upper middle income",2.24324530735549,51.7799987792969,60.2299995422363,377.3898394789,71.626,67.592,757560,1178440000
1993,"Colombia","COL",11.627,2.911,0.319,11.086,56.61,51,731,427,NA,NA,"Latin America & Caribbean","Upper middle income",1.58956905295425,7.05999994277954,33.4900016784668,1893.54221193734,74.339,66.631,59460,35091272
1993,"Egypt, Arab Rep.","EGY",6.053,0.037,1.158,4.745,23.326,912,829,581,NA,NA,"Middle East & North Africa","Lower middle income",1.53355033385072,46.4700012207031,32.4599990844727,777.857735101984,68.27,63.469,32350,59880656
1993,"Ethiopia","ETH",3.008,0.017,0.996,0.592,6.8,827,1464,0,NA,NA,"Sub-Saharan Africa","Low income",0.0364007835850329,67,84.1999969482422,165.693228041524,49.913,46.848,41950,53295556
